indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.51,0.692,0.18,0.154,0.169,0.102,0.085,51.591,-0.262
0.538,0.405,0.199,0.108,0.268,0.122,0.078,53.464,-2.168
0.52,0.128,0.204,0.192,0.206,0.076,0.044,52.293,-0.692
0.552,0.615,0.154,0.099,0.196,0.106,0.085,51.476,-0.17
0.455,0.474,0.014,0.016,0.106,0.031,0.311,52.219,0.086
0.508,0.136,0.169,0.183,0.164,0.063,0.044,53.745,-0.313
0.459,0.159,0.04,0.083,0.054,0.022,0.531,53.817,-1.586
0.516,0.249,0.189,0.187,0.171,0.069,0.034,52.117,-0.493
0.525,0.24,0.196,0.159,0.195,0.085,0.06,51.645,-0.257
0.496,0.507,0.139,0.151,0.172,0.083,0.066,51.575,0.003
0.523,0.032,0.194,0.291,0.161,0.071,0.029,53.901,-1.994
0.507,0.217,0.102,0.176,0.204,0.043,0.045,51.363,-0.265
0.504,0.034,0.115,0.202,0.185,0.034,0.036,51.751,-1.393
