indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.499,0.106,0.08,0.087,0.223,0.035,0.029,51.577,-1.828
0.514,0.029,0.132,0.338,0.118,0.044,0.028,50.704,-4.645
0.529,0.027,0.214,0.285,0.14,0.08,0.033,53.557,-1.502
0.529,0.551,0.15,0.194,0.192,0.08,0.079,51.611,-0.171
0.436,0.274,0.092,0.029,0.07,0.07,0.154,53.481,-2.26
0.539,0.567,0.161,0.081,0.227,0.095,0.082,51.413,-0.06
0.506,0.009,0.157,0.27,0.135,0.057,0.038,53.682,-1.072
0.518,0.431,0.137,0.152,0.169,0.096,0.085,51.505,-0.294
0.505,0.754,0.154,0.107,0.214,0.108,0.098,51.575,0.1
0.489,0.132,0.111,0.184,0.157,0.039,0.03,51.28,-0.84
0.527,0.037,0.216,0.394,0.102,0.061,0.029,52.087,1.15
0.465,0.653,0.201,0.058,0.317,0.173,0.075,52.901,-1.486
0.528,0.017,0.146,0.336,0.137,0.054,0.033,52.051,-4.411
0.515,0.027,0.232,0.253,0.154,0.076,0.035,52.635,0.22
0.556,0.233,0.193,0.32,0.156,0.076,0.045,52.593,-2.177
0.521,0.035,0.12,0.241,0.171,0.039,0.032,51.205,-2.209
0.503,0.017,0.128,0.124,0.184,0.032,0.051,53.264,-1.382
0.525,0.068,0.068,0.258,0.137,0.027,0.066,51.259,-0.329
0.552,0.508,0.204,0.169,0.264,0.138,0.05,52.422,-1.861
0.504,0.467,0.198,0.202,0.207,0.087,0.058,51.896,-0.486
0.535,0.291,0.044,0.044,0.039,0.015,0.811,52.623,1.24
0.55,0.042,0.218,0.299,0.191,0.116,0.033,51.802,-2.721
0.504,0.029,0.157,0.196,0.186,0.048,0.04,50.442,-4.868
0.521,0.246,0.069,0.11,0.159,0.045,0.033,51.389,-0.309
0.514,0.677,0.171,0.081,0.15,0.158,0.234,51.528,-0.121
0.513,0.145,0.03,0.072,0.295,0.019,0.033,51.458,-0.163
0.512,0.149,0.081,0.278,0.175,0.036,0.037,51.616,-0.557
0.533,0.042,0.224,0.239,0.18,0.079,0.04,52.474,-0.923
0.504,0.216,0.157,0.165,0.218,0.087,0.056,52.563,-2.173
0.524,0.072,0.069,0.255,0.162,0.022,0.029,50.983,-1.399
0.5,0.01,0.164,0.292,0.145,0.044,0.031,52.594,-3.243
0.52,0.159,0.069,0.252,0.189,0.065,0.032,51.361,-0.439
0.511,0.06,0.114,0.24,0.145,0.057,0.054,53.408,-2.741
0.506,0.045,0.08,0.255,0.172,0.034,0.039,51.221,-1.01
0.501,0.148,0.144,0.259,0.17,0.054,0.039,52.658,-1.2
0.498,0.025,0.086,0.234,0.188,0.034,0.029,51.174,-1.398
0.534,0.445,0.108,0.069,0.168,0.073,0.063,51.537,-0.061
0.526,0.048,0.084,0.112,0.223,0.038,0.035,51.4,-3.289
0.514,0.148,0.13,0.184,0.22,0.042,0.05,51.605,-0.67
0.502,0.071,0.049,0.177,0.251,0.031,0.051,51.234,-0.186
0.525,0.077,0.148,0.216,0.228,0.039,0.053,52.618,-1.298
0.501,0.527,0.134,0.096,0.212,0.064,0.077,51.488,0.111
0.508,0.071,0.149,0.166,0.195,0.069,0.032,53.661,-2.615
0.475,0.017,0.18,0.166,0.184,0.06,0.033,53.013,-1.364
0.519,0.025,0.15,0.24,0.181,0.056,0.025,51.233,-2.195
0.512,0.26,0.087,0.162,0.221,0.034,0.058,51.653,-0.292
0.534,0.597,0.19,0.146,0.203,0.157,0.065,51.528,-0.211
0.518,0.09,0.122,0.216,0.15,0.065,0.027,50.833,-0.272
0.535,0.617,0.206,0.14,0.246,0.11,0.085,51.642,-0.051
0.557,0.669,0.23,0.128,0.192,0.195,0.13,51.524,-0.17
0.498,0.078,0.081,0.211,0.205,0.023,0.051,51.833,-0.435
0.503,0.032,0.15,0.268,0.154,0.042,0.033,52.674,1.129
0.507,0.059,0.055,0.128,0.188,0.019,0.041,51.257,-0.849
0.496,0.619,0.141,0.147,0.195,0.082,0.072,51.4,-0.14
0.537,0.019,0.148,0.283,0.187,0.056,0.025,51.709,-2.181
0.531,0.079,0.043,0.164,0.217,0.03,0.044,53.434,-2.288
0.524,0.532,0.155,0.068,0.243,0.102,0.067,51.583,0.001
0.508,0.021,0.179,0.294,0.139,0.048,0.046,53.051,-2.126
0.527,0.023,0.149,0.228,0.178,0.057,0.047,50.422,-5.043
0.497,0.019,0.147,0.239,0.161,0.033,0.035,51.374,-2.672
0.499,0.42,0.148,0.081,0.157,0.101,0.084,51.535,-0.095
0.513,0.141,0.061,0.07,0.084,0.048,0.321,50.833,-0.131
0.525,0.059,0.096,0.222,0.215,0.036,0.033,51.868,-2.099
0.511,0.495,0.345,0.225,0.125,0.29,0.02,51.249,-0.762
0.441,0.598,0.124,0.007,0.163,0.091,0.136,51.88,-0.413
0.507,0.094,0.132,0.202,0.15,0.046,0.09,51.368,-2.393
0.536,0.021,0.14,0.163,0.18,0.059,0.043,50.348,-4.084
0.514,0.022,0.247,0.197,0.208,0.098,0.04,53.507,-1.365
0.509,0.415,0.215,0.1,0.266,0.117,0.073,52.661,-1.143
0.467,0.493,0.058,0.031,0.147,0.052,0.064,51.461,-0.958
0.503,0.025,0.206,0.227,0.14,0.05,0.033,52.991,-2.126
0.505,0.247,0.137,0.144,0.203,0.048,0.048,52.119,-0.488
0.508,0.074,0.103,0.063,0.287,0.049,0.037,50.803,-1.17
0.555,0.114,0.258,0.143,0.253,0.168,0.054,53.426,-2.875
0.531,0.036,0.255,0.148,0.202,0.096,0.04,53.725,-1.377
0.528,0.058,0.112,0.349,0.135,0.05,0.023,53.746,-2.722
0.506,0.044,0.183,0.174,0.211,0.064,0.036,53.443,-1.399
0.511,0.08,0.198,0.171,0.205,0.078,0.039,51.421,-2.576
0.526,0.069,0.201,0.38,0.12,0.055,0.027,50.823,-0.331
0.487,0.464,0.215,0.13,0.175,0.109,0.256,51.876,-0.406
0.501,0.193,0.197,0.106,0.25,0.116,0.073,53.48,-2.377
0.516,0.408,0.125,0.109,0.215,0.095,0.067,51.619,-0.144
0.493,0.468,0.143,0.072,0.211,0.075,0.073,51.556,0.007
0.516,0.027,0.136,0.194,0.217,0.061,0.035,50.825,-4.532
0.511,0.064,0.133,0.159,0.181,0.057,0.043,53.055,-2.261
0.498,0.209,0.092,0.261,0.177,0.046,0.038,53.414,-2.322
0.503,0.022,0.219,0.245,0.153,0.078,0.036,53.447,-1.365
0.518,0.129,0.034,0.127,0.23,0.024,0.04,51.761,-0.33
0.503,0.029,0.14,0.134,0.213,0.06,0.044,52.979,-1.318
0.504,0.04,0.126,0.079,0.218,0.041,0.038,53.521,-1.375
0.505,0.079,0.095,0.208,0.182,0.026,0.038,51.305,-0.735
0.526,0.044,0.118,0.227,0.199,0.042,0.047,50.868,-1.286
0.51,0.403,0.132,0.094,0.143,0.084,0.073,51.554,-0.208
0.527,0.543,0.172,0.11,0.21,0.108,0.09,51.61,-0.265
0.503,0.164,0.215,0.163,0.175,0.089,0.04,53.029,-2.161
0.528,0.04,0.212,0.149,0.218,0.107,0.055,53.459,-2.977
0.523,0.048,0.19,0.334,0.14,0.043,0.034,52.919,-1.297
0.493,0.013,0.179,0.276,0.162,0.055,0.029,52.697,1.287
0.507,0.056,0.095,0.185,0.185,0.025,0.054,52.964,-2.099
0.516,0.835,0.185,0.095,0.256,0.128,0.09,51.49,-0.389
0.524,0.127,0.172,0.16,0.191,0.081,0.043,51.414,-0.824
0.517,0.052,0.098,0.29,0.148,0.044,0.052,51.062,0.287
0.507,0.486,0.207,0.077,0.178,0.104,0.069,51.582,-0.25
0.518,0.068,0.29,0.15,0.229,0.116,0.04,51.61,-3.027
0.506,0.02,0.162,0.193,0.147,0.041,0.04,51.688,-3.02
0.507,0.07,0.151,0.132,0.227,0.053,0.029,50.823,-1.091
0.507,0.394,0.153,0.2,0.176,0.107,0.065,51.5,-0.335
0.499,0.017,0.165,0.258,0.157,0.06,0.033,54.959,-3.009
0.512,0.023,0.14,0.221,0.16,0.05,0.039,53.597,-2.238
0.521,0.087,0.076,0.156,0.176,0.035,0.03,51.791,-0.099
