script,op,lineno,raw_target,resolved_type,resolved_path,exists,hint
scripts/RF_IP.py,write,164,"PRED_PATH, index=False",unknown,PRED_PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/RF_IP.py,write,170,"TRAIN_PATH, index=False",unknown,TRAIN_PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/RF_IP.py,write,171,"VAL_PATH, index=False",unknown,VAL_PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/SHAP_IA.py,read,45,MODEL_PATH,unknown,MODEL_PATH,,\bjoblib\.load\(\s*([^\)]+?)\s*\)
scripts/SHAP_IA.py,read,46,VALSET_PATH,unknown,VALSET_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/SHAP_IA.py,write,68,"SHAP_SUMMARY_PNG, dpi=300",unknown,SHAP_SUMMARY_PNG,,\bplt\.savefig\(\s*([^\)]+?)\s*\)
scripts/SHAP_IA.py,write,75,"SHAP_VALUES_NPY, shap_values_low",unknown,SHAP_VALUES_NPY,,\bnp\.savez?\(\s*([^\)]+?)\s*\)
scripts/SHAP_IA.py,write,76,"SHAP_XVAL_CSV, index=False",unknown,SHAP_XVAL_CSV,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IA.py,read,48,MODEL_PATH,unknown,MODEL_PATH,,\bjoblib\.load\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IA.py,read,49,VAL_CSV,unknown,VAL_CSV,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IA.py,write,128,"OUT_PNG, dpi=300",unknown,OUT_PNG,,\bplt\.savefig\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IA.py,write,136,"RAW_NPY, raw",unknown,RAW_NPY,,\bnp\.savez?\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IA.py,write,141,"SIGNED_CSV, float_format=""%.6f""",unknown,SIGNED_CSV,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IA.py,write,142,"MASK_NPY, mask",unknown,MASK_NPY,,\bnp\.savez?\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IA.py,write,143,ALL_JOBLIB,unknown,ALL_JOBLIB,,"\bjoblib\.dump\(\s*[^,]+,\s*([^\)]+?)\s*\)"
scripts/SHAP_INTERACTION_IP.py,read,48,MODEL_PATH,unknown,MODEL_PATH,,\bjoblib\.load\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IP.py,read,49,VAL_CSV,unknown,VAL_CSV,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IP.py,write,128,"OUT_PNG, dpi=300",unknown,OUT_PNG,,\bplt\.savefig\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IP.py,write,136,"RAW_NPY, raw",unknown,RAW_NPY,,\bnp\.savez?\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IP.py,write,141,"SIGNED_CSV, float_format=""%.6f""",unknown,SIGNED_CSV,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IP.py,write,142,"MASK_NPY, mask",unknown,MASK_NPY,,\bnp\.savez?\(\s*([^\)]+?)\s*\)
scripts/SHAP_INTERACTION_IP.py,write,143,ALL_JOBLIB,unknown,ALL_JOBLIB,,"\bjoblib\.dump\(\s*[^,]+,\s*([^\)]+?)\s*\)"
scripts/SHAP_IP.py,read,45,MODEL_PATH,unknown,MODEL_PATH,,\bjoblib\.load\(\s*([^\)]+?)\s*\)
scripts/SHAP_IP.py,read,46,VALSET_PATH,unknown,VALSET_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/SHAP_IP.py,write,68,"SHAP_SUMMARY_PNG, dpi=300",unknown,SHAP_SUMMARY_PNG,,\bplt\.savefig\(\s*([^\)]+?)\s*\)
scripts/SHAP_IP.py,write,75,"SHAP_VALUES_NPY, shap_values_low",unknown,SHAP_VALUES_NPY,,\bnp\.savez?\(\s*([^\)]+?)\s*\)
scripts/SHAP_IP.py,write,76,"SHAP_XVAL_CSV, index=False",unknown,SHAP_XVAL_CSV,,\bto_csv\(\s*([^\)]+?)\s*\)
tools/io_scan.py,write,371,path,unknown,path,,"\bjoblib\.dump\(\s*[^,]+,\s*([^\)]+?)\s*\)"
tools/io_scan.py,read,433,"""w""",relative,tools/w,False,"\bopen\(\s*([^,]+?)\s*,"
tools/io_scan.py,read,445,"""w""",relative,tools/w,False,"\bopen\(\s*([^,]+?)\s*,"
tools/repo_audit.py,write,107,"PATH, index=False",unknown,PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
tools/repo_audit.py,read,255,"""w""",relative,tools/w,False,"\bopen\(\s*([^,]+?)\s*,"
tools/repo_audit.py,read,263,"""w""",relative,tools/w,False,"\bopen\(\s*([^,]+?)\s*,"
tools/repo_audit.py,read,271,"""w""",relative,tools/w,False,"\bopen\(\s*([^,]+?)\s*,"
